Start... Grid search and Cross validation

LogisticRegression
params                                                                mean_test_score(%)
------------------------------------------------------------------  --------------------
{'C': 2, 'max_iter': 600, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 2, 'max_iter': 600, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 2, 'max_iter': 600, 'penalty': 'l1', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 600, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 2, 'max_iter': 600, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.4716
{'C': 2, 'max_iter': 600, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 700, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 2, 'max_iter': 700, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 2, 'max_iter': 700, 'penalty': 'l1', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 700, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 2, 'max_iter': 700, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 2, 'max_iter': 700, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 800, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 2, 'max_iter': 800, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 2, 'max_iter': 800, 'penalty': 'l1', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 800, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 2, 'max_iter': 800, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 2, 'max_iter': 800, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 900, 'penalty': 'l1', 'solver': 'newton-cg'}               nan
{'C': 2, 'max_iter': 900, 'penalty': 'l1', 'solver': 'lbfgs'}                   nan
{'C': 2, 'max_iter': 900, 'penalty': 'l1', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 900, 'penalty': 'l2', 'solver': 'newton-cg'}                81.0461
{'C': 2, 'max_iter': 900, 'penalty': 'l2', 'solver': 'lbfgs'}                    81.0461
{'C': 2, 'max_iter': 900, 'penalty': 'l2', 'solver': 'liblinear'}                82.7394
{'C': 2, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'newton-cg'}              nan
{'C': 2, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'lbfgs'}                  nan
{'C': 2, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'liblinear'}               82.7394
